at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20,at21,at22,at23,at24,at25,at26,class
1,0.289,62.609,0.169,0.008,8.959,0.619,2.149,7.899,0.549,0.439,0.429,343.009,2.999,0.529,88.429,96.489,4.089,22.929,27.309,33.809,9.979,59.359,0.009,0.009,84.009,a
2,0.459,61.809,0.143,0.012,11.999,0.769,2.099,6.369,0.749,0.429,0.369,292.009,3.099,0.619,89.499,96.299,4.799,19.009,29.909,38.919,12.189,54.139,0.009,0.849,73.919,a
3,0.709,61.809,0.131,0.012,12.189,0.929,2.089,5.829,0.509,0.359,0.349,293.009,2.989,1.439,91.569,95.589,3.779,15.719,27.919,41.379,15.009,51.499,0.009,1.569,75.079,b
4,0.469,61.709,0.165,0.008,12.169,0.759,2.099,6.339,0.519,0.449,0.179,308.009,2.929,0.929,91.149,96.149,4.589,11.889,25.879,48.499,13.759,47.789,0.009,1.399,83.539,b
5,0.469,61.909,0.159,0.009,11.929,0.779,2.049,6.269,0.559,0.439,0.319,276.009,3.049,1.179,91.329,95.789,3.439,11.179,19.769,46.389,22.679,52.169,0.009,0.329,81.259,b
6,0.289,61.409,0.129,0,11.879,0.769,2.039,6.479,0.539,0.369,0.299,280.009,3.219,0.419,92.659,96.389,2.539,6.889,21.759,49.759,21.629,56.229,3.489,0.009,73.329,b
7,0.429,61.409,0.165,0.009,12.339,0.739,2.079,5.869,0.569,0.439,0.419,256.009,3.489,0.529,93.899,96.009,3.699,8.909,25.849,47.969,17.299,52.539,1.809,1.009,53.779,b
8,0.259,61.509,0.159,0.008,12.359,0.789,2.079,5.919,0.519,0.419,0.469,270.009,3.749,0.479,93.319,95.779,3.759,12.509,28.279,43.709,15.529,48.299,1.209,1.949,61.479,b
9,0.679,61.509,0.165,0.011,11.219,0.759,1.979,5.879,0.539,0.369,0.339,263.009,3.299,0.739,91.509,95.219,3.649,13.119,24.809,41.539,20.559,59.539,1.569,0.519,70.899,b
10,0.319,61.709,0.143,0.007,11.659,0.719,2.189,5.609,0.629,0.609,0.729,286.009,3.209,0.729,92.289,96.079,3.579,9.409,18.429,51.389,20.799,53.719,0.009,3.039,68.509,b
11,0.319,61.809,0.139,0.007,11.039,0.649,2.139,7.129,0.649,0.549,0.399,350.009,3.149,0.419,90.729,96.449,3.489,17.239,27.229,38.559,16.999,60.159,0.929,0.319,86.249,a
12,0.319,61.809,0.147,0.006,11.009,1.059,2.109,6.249,0.469,0.479,0.319,319.009,3.719,0.539,89.279,95.769,3.009,11.669,25.389,49.249,13.719,42.689,0.009,0.839,73.019,b
13,1.139,61.809,0.163,0.011,12.069,0.929,2.329,6.429,0.459,0.349,0.419,313.009,3.359,0.419,91.349,96.239,4.239,15.449,27.499,37.099,19.979,57.469,0.349,0.359,79.759,b
14,1.079,61.909,0.171,0.012,12.049,1.009,2.399,6.149,1.009,0.919,0.469,280.009,3.009,1.129,89.379,95.869,3.049,17.269,29.749,37.809,15.199,60.059,0.199,1.499,83.299,a
15,0.859,61.909,0.171,0.01,10.529,0.929,2.419,7.299,0.459,0.449,0.439,312.009,2.869,1.029,89.149,96.119,2.799,16.559,24.229,44.469,14.779,66.469,0.009,0.859,88.149,c
16,0.259,61.509,0.179,0.015,12.359,0.679,2.209,5.969,0.489,0.339,0.299,290.009,3.409,0.449,91.129,96.149,3.119,7.669,19.389,56.739,16.239,43.679,0.009,1.469,79.099,b
17,0.489,61.509,0.209,0.013,12.069,0.869,2.209,6.779,0.559,0.359,0.359,286.009,3.249,0.819,91.069,95.769,3.859,13.039,22.759,50.519,13.709,46.559,0.009,0.759,79.709,b
18,0.679,61.709,0.209,0.009,11.879,0.749,1.979,6.709,0.689,0.509,0.389,297.009,3.329,0.759,91.229,95.739,3.249,15.329,23.179,45.779,15.739,62.909,0.009,0.149,83.629,b
19,1.329,61.609,0.209,0.019,11.959,0.919,2.139,6.309,0.669,0.529,0.639,298.009,3.079,1.559,88.659,95.379,2.249,11.159,21.479,48.779,18.619,63.889,0.009,1.649,84.539,d
20,0.769,61.609,0.207,0.019,12.629,0.989,1.999,6.679,0.519,0.379,0.349,259.009,3.279,0.859,89.939,95.399,3.869,12.229,23.959,49.339,14.499,49.879,0.159,5.129,79.239,c
21,0.539,61.809,0.141,0.006,13.579,0.959,1.919,6.489,0.649,0.259,0.189,270.009,3.469,1.359,91.199,95.189,3.029,6.889,14.449,45.659,33.029,51.189,1.309,2.269,83.209,b
22,0.939,61.809,0.123,0.008,12.689,0.759,2.229,5.199,0.569,0.439,0.349,221.009,3.909,1.279,92.589,94.839,4.129,10.089,20.179,46.919,22.849,63.699,0.009,0.199,73.749,b
23,0.209,61.809,0.107,0.005,13.199,0.719,2.279,6.259,0.779,0.419,0.349,231.009,3.989,0.569,92.179,95.469,3.509,6.939,24.119,46.009,22.949,52.999,0.009,1.829,67.249,b
24,0.329,62.209,0.123,0.004,12.719,0.859,2.079,5.239,0.619,0.499,0.369,224.009,3.239,0.849,89.549,95.929,2.529,5.169,18.879,42.269,33.709,59.739,0.009,0.009,72.559,b
25,0.679,61.509,0.155,0.011,12.909,0.919,2.039,6.399,0.619,0.449,0.349,275.009,2.999,1.329,91.829,95.239,4.109,14.999,30.569,39.959,14.489,55.739,1.959,2.159,79.009,c
26,0.439,62.009,0.159,0.013,11.499,1.049,2.689,6.449,0.499,0.609,0.299,240.009,4.099,0.759,88.449,95.169,1.759,18.129,24.849,27.269,29.779,63.609,0.009,0.329,85.789,a
27,0.859,62.009,0.187,0.016,11.599,1.099,3.209,7.149,0.569,0.479,0.359,279.009,3.279,0.669,89.539,96.069,3.259,20.229,28.239,34.969,16.579,52.789,0.009,6.389,89.869,c
